,TrainLoss,ValLoss
0,[441955.25],[516646.25]
1,[439405.88],[527932.6]
2,[441136.53],[522367.34]
3,[444889.44],[524495.5]
4,[444615.34],[520976.12]
5,[444231.53],[526473.06]
6,[447387.88],[527577.8]
7,[445166.2],[527940.2]
8,[446919.9],[531607.06]
9,[446537.16],[527190.1]
10,[446307.4],[529049.2]
11,[444680.28],[523748.94]
12,[443719.78],[523989.4]
13,[445681.6],[527809.06]
14,[446096.56],[529735.5]
15,[446443.12],[527921.5]
16,[445011.12],[528378.75]
17,[446359.62],[532167.75]
18,[446086.12],[530287.2]
19,[447030.5],[530781.6]
