,TrainLoss,ValLoss
0,[86561640.],[22618162.]
1,[2.712896e+08],[22626930.]
2,[5.617169e+08],[22618134.]
3,[9.4228966e+08],[22618134.]
4,[2.7830684e+09],[22618134.]
5,[4.978965e+09],[78408920.]
6,[3.6952634e+08],[5.707579e+08]
7,[5.024803e+08],[1.07871e+09]
8,[2.6360316e+10],[26331404.]
9,[1.1099535e+08],[22618134.]
10,[2.2771629e+08],[33468126.]
11,[7.048189e+12],[3.772276e+09]
12,[1.4244458e+08],[1.3704769e+09]
13,[1.6671531e+11],[22618134.]
14,[1.7481303e+12],[22618134.]
15,[2.5628268e+09],[1.7405386e+08]
16,[4.5188975e+12],[22618134.]
17,[21459458.],[22618134.]
18,[2.27731e+12],[22618134.]
