,TrainLoss,ValLoss
0,[3040994.2],[4608425.5]
1,[4097225.5],[5228973.]
2,[4110556.],[4311956.]
3,[4199667.],[4799476.]
4,[4179701.],[4600825.]
5,[4334720.5],[5248414.]
6,[4350213.5],[4258825.5]
7,[4188739.2],[4563036.5]
8,[4259578.5],[4053313.5]
9,[4167316.5],[4806847.5]
10,[4238645.5],[4508899.]
11,[4268292.5],[5292841.5]
12,[4391650.],[5029040.]
13,[4168835.5],[4167343.5]
14,[3953568.],[4550634.]
15,[4273634.],[4785120.5]
