,TrainLoss,ValLoss
0,[570881.75],[651908.75]
1,[571489.6],[657420.8]
2,[573169.8],[654662.94]
3,[580225.75],[688377.75]
4,[580586.1],[799562.75]
5,[576748.56],[713904.3]
6,[709146.44],[808024.6]
7,[573236.1],[650971.2]
8,[572086.7],[649811.75]
9,[571302.75],[649068.9]
10,[570881.9],[648727.4]
11,[570827.7],[648840.3]
12,[593083.9],[675327.]
13,[593751.],[675327.]
