,TrainLoss,ValLoss
0,[3430073.8],[4861996.]
1,[4416293.5],[4945519.]
2,[4125547.2],[4834336.5]
3,[4259149.],[4687673.]
4,[4276281.],[4583875.]
5,[4087780.],[4334556.5]
6,[4103268.8],[4544393.5]
7,[4143867.5],[5219365.5]
8,[4139411.2],[4566610.5]
9,[4073052.2],[3977170.2]
10,[3964641.5],[3977348.2]
11,[4199279.],[4712601.]
12,[4097213.8],[4307157.5]
13,[4259512.5],[5122229.5]
14,[4340677.5],[4924061.]
15,[4284728.5],[4852054.5]
16,[4409495.],[4732926.]
17,[4488178.],[4754104.5]
18,[4297610.],[4268548.]
19,[4384006.5],[4519137.5]
20,[4353945.],[4924178.]
21,[4321286.],[3943155.]
22,[4245882.],[4538788.]
23,[4161730.8],[4401530.]
24,[4137658.2],[4495129.]
25,[4394965.5],[4689203.5]
26,[4417599.],[4903280.]
27,[4374510.5],[4351282.]
28,[4455547.5],[4510862.5]
29,[4299919.],[5072180.]
30,[4436495.],[4408651.]
31,[4299976.],[3989672.5]
32,[4214192.5],[4399409.5]
33,[4214694.5],[4511197.]
34,[4227437.],[4816517.5]
35,[3986718.5],[4147840.5]
36,[3949021.5],[4920265.]
37,[4284408.],[4740446.5]
38,[4397602.],[4679560.5]
39,[4516025.5],[4680057.5]
40,[4311413.5],[4586638.]
41,[4289126.5],[4299612.]
42,[4326602.],[4560623.]
43,[4277055.5],[4602332.]
44,[4317038.5],[4614616.5]
45,[4255732.5],[5222599.]
46,[4283540.],[4520028.]
47,[4346482.5],[4412596.]
48,[4382772.],[4565095.5]
49,[4181656.5],[4104140.2]
50,[4143959.8],[4292674.5]
51,[4029650.],[4349022.5]
52,[4163618.5],[4700260.]
53,[4181495.],[4516435.]
54,[4422833.5],[4554023.]
55,[4206125.5],[4927458.5]
56,[4066369.5],[4181772.8]
57,[4151108.8],[4221756.]
58,[3972538.8],[4526274.5]
59,[4154736.2],[4274700.5]
60,[4294855.5],[4430461.]
61,[4406189.],[4379344.]
62,[4354860.5],[4702867.5]
63,[4326648.5],[4716540.]
64,[4145948.],[4418106.5]
65,[4118241.5],[3900562.5]
66,[4166330.8],[4930005.]
67,[4159729.5],[4450866.]
68,[4391375.],[5082065.]
69,[4234004.],[4462799.5]
70,[4384222.5],[4591472.5]
71,[4366473.],[4730573.]
72,[4314813.5],[4101300.2]
73,[4241842.5],[4342238.5]
74,[4380122.5],[4276940.]
75,[4200302.5],[4792229.5]
76,[4138071.2],[4535485.]
77,[4206802.],[4465387.]
78,[4277652.5],[4529786.]
79,[4313958.],[4746485.5]
80,[4281757.],[4565179.]
81,[4188657.],[4213363.5]
82,[4124611.2],[3966155.2]
83,[3929387.],[4043367.5]
84,[4066420.],[4248493.5]
85,[4244639.5],[4374250.]
86,[4191033.],[4884978.5]
87,[4155646.],[5036147.5]
88,[4345325.],[4569572.5]
89,[4167771.5],[3984402.2]
90,[4071311.2],[4043834.]
91,[4379594.5],[4421477.5]
92,[4215309.],[4353580.]
93,[4238248.],[4900502.5]
94,[4474949.],[4850895.]
95,[4371880.],[4451372.5]
96,[4285192.],[4540570.5]
97,[4316272.],[4461847.5]
98,[4383201.5],[4868600.5]
99,[4287786.5],[4327281.5]
100,[4069687.5],[4383797.5]
101,[4193947.2],[5081408.]
102,[4276365.5],[4352269.5]
103,[4311569.],[4652988.5]
104,[4323530.5],[4803302.5]
105,[4477465.],[4693626.]
106,[4374727.],[5328674.]
107,[4426722.5],[5205496.]
108,[4218764.],[4696604.]
109,[4272639.5],[5224572.]
110,[4414292.],[4899846.5]
111,[4313934.5],[5002003.]
112,[4219951.5],[3959006.5]
113,[4218201.5],[4591507.]
114,[4336126.5],[4938258.]
115,[4153258.8],[4631789.]
116,[4334081.5],[4704456.]
117,[4291213.],[4509043.]
118,[4356801.5],[4381904.]
119,[4276962.],[4413294.]
120,[4232490.5],[4229854.]
121,[4254939.5],[4734828.]
122,[4287657.5],[4652105.]
123,[4247537.5],[4034026.8]
124,[4309187.],[4928517.5]
125,[4332836.5],[4365934.]
126,[4274496.],[4839193.5]
127,[4426165.],[4892088.]
128,[4437386.5],[4907831.]
129,[4316282.5],[4353078.]
130,[4287840.5],[5063162.]
131,[4374057.],[4435318.5]
132,[4300969.],[4572176.5]
133,[4284187.5],[4462512.]
134,[4160446.8],[4236478.5]
135,[4120855.5],[4387548.5]
136,[4201221.],[4042543.5]
137,[4291876.5],[4876108.5]
138,[4295003.],[4167974.5]
139,[4235354.5],[4395426.]
140,[4312715.5],[4832719.5]
141,[4329117.5],[4661749.]
142,[4192743.],[4732678.5]
143,[4424572.],[5087900.]
144,[4264169.5],[4776532.]
145,[4340966.5],[4735125.5]
146,[4308163.],[4740044.5]
147,[4457548.],[4874386.]
148,[4480115.],[4731707.5]
