,TrainLoss,ValLoss
0,[3770565.],[5201388.]
1,[4461723.5],[5200505.]
2,[4667291.],[5190175.5]
3,[4751865.5],[5726496.5]
4,[4710216.5],[5319238.]
5,[4784172.],[5039530.5]
6,[4634960.5],[5051927.5]
7,[4614653.5],[4892042.]
